"","phase","question","trialNum","swatch","response","responseCoded","rt","subid","age","timeOfTest","condition","gender","englishExposure","trialComments","sessionComments","ageCalc"
"38","study","Do you think this one is an animal?",12,"BI2A00040","definitely NO",-1.5,7435,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"39","bonus","Do you think this one can feel hungry?",13,"BI2A00028","maybe YES",0.5,13682,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"40","bonus","Do you think this one can remember things?",14,"BI2A00006","maybe YES",0.5,11505,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"41","bonus","Do you think this one can sense things close by?",15,"BI2A00011","maybe NO",-0.5,12967,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"42","bonus","Do you think this one can think?",16,"BI2A00026","definitely YES",1.5,12815,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"43","bonus","Do you think this one can feel happy?",17,"BI2A00046","maybe YES",0.5,8851,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"44","bonus","Do you think this one can hear?",18,"BI2A00044","definitely NO",-1.5,9418,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"45","bonus","Do you think this one can feel pain?",19,"BI2A00021","maybe YES",0.5,12050,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"46","bonus","Do you think this one has feelings?",20,"BI2A00037","definitely YES",1.5,11473,"k01",4.353424658,"9:44","set2","female",NA,NA,"missing year of birth on consent form; guessed because said she was 4",4y 0m 128d 0H 0M 0S
"47","practice",NA,-3,"apple_1","skip",NA,11122,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"48","practice",NA,-2,"apple_2","skip",NA,3405,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"49","practice",NA,-1,"apple_3","skip",NA,3085,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"50","practice",NA,0,"apple_1","skip",NA,10506,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"51","study","Do you think this one is an animal?",1,"BI2A00041","definitely NO",-1.5,15140,"k02",5.868493151,"11:03","set2","female",NA,"bag",NA,5y 0m 315d 18H 0M 0S
"52","study","Do you think this one is an animal?",2,"BI2A00013","definitely YES",1.5,15637,"k02",5.868493151,"11:03","set2","female",NA,"I could tell - fur",NA,5y 0m 315d 18H 0M 0S
"53","study","Do you think this one is an animal?",3,"BI2A00045","definitely NO",-1.5,15805,"k02",5.868493151,"11:03","set2","female",NA,"bag",NA,5y 0m 315d 18H 0M 0S
"54","study","Do you think this one is an animal?",4,"BI2A00016","maybe YES",0.5,17124,"k02",5.868493151,"11:03","set2","female",NA,"more like wool",NA,5y 0m 315d 18H 0M 0S
"55","study","Do you think this one is an animal?",5,"BI2A00004","definitely YES",1.5,8131,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"56","study","Do you think this one is an animal?",6,"BI2A00032","maybe YES",0.5,19816,"k02",5.868493151,"11:03","set2","female",NA,"kind of looks…",NA,5y 0m 315d 18H 0M 0S
"57","study","Do you think this one is an animal?",7,"BI2A00006","definitely YES",1.5,10161,"k02",5.868493151,"11:03","set2","female",NA,"cat fur, I could tell",NA,5y 0m 315d 18H 0M 0S
"58","study","Do you think this one is an animal?",8,"BI2A00038","definitely NO",-1.5,10228,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"59","study","Do you think this one is an animal?",9,"BI2A00037","maybe YES",0.5,15929,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"60","study","Do you think this one is an animal?",10,"BI2A00040","definitely NO",-1.5,11786,"k02",5.868493151,"11:03","set2","female",NA,"rug",NA,5y 0m 315d 18H 0M 0S
"61","study","Do you think this one is an animal?",11,"BI2A00002","definitely YES",1.5,20500,"k02",5.868493151,"11:03","set2","female",NA,"cat fur",NA,5y 0m 315d 18H 0M 0S
"62","study","Do you think this one is an animal?",12,"BI2A00034","definitely NO",-1.5,10485,"k02",5.868493151,"11:03","set2","female",NA,"rug",NA,5y 0m 315d 18H 0M 0S
"63","bonus","Do you think this one can feel hungry?",13,"BI2A00044","definitely NO",-1.5,10437,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"64","bonus","Do you think this one can feel pain?",14,"BI2A00006","definitely YES",1.5,8332,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"65","bonus","Do you think this one can hear?",15,"BI2A00046","definitely NO",-1.5,7722,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"66","bonus","Do you think this one can feel happy?",16,"BI2A00021","maybe YES",0.5,6859,"k02",5.868493151,"11:03","set2","female",NA,"maybe",NA,5y 0m 315d 18H 0M 0S
"67","bonus","Do you think this one can think?",17,"BI2A00026","maybe YES",0.5,6583,"k02",5.868493151,"11:03","set2","female",NA,"maybe",NA,5y 0m 315d 18H 0M 0S
"68","bonus","Do you think this one can remember things?",18,"BI2A00037","definitely NO",-1.5,8091,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"69","bonus","Do you think this one has feelings?",19,"BI2A00011","definitely YES",1.5,8735,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"70","bonus","Do you think this one can sense things close by?",20,"BI2A00028","maybe YES",0.5,8262,"k02",5.868493151,"11:03","set2","female",NA,"",NA,5y 0m 315d 18H 0M 0S
"71","practice",NA,-3,"apple_1","skip",NA,11656,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"72","practice",NA,-2,"apple_2","skip",NA,5104,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"73","practice",NA,-1,"apple_3","skip",NA,3394,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"74","practice",NA,0,"apple_1","skip",NA,11077,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"75","study","Do you think this one is an animal?",1,"BI2A00045","definitely NO",-1.5,13915,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"76","study","Do you think this one is an animal?",2,"BI2A00006","definitely YES",1.5,13854,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"77","study","Do you think this one is an animal?",3,"BI2A00040","maybe YES",0.5,16399,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"78","study","Do you think this one is an animal?",4,"BI2A00004","definitely YES",1.5,14758,"k03",6.605479452,"11:30","set2","female","often","real",NA,6y 0m 219d 12H 0M 0S
"79","study","Do you think this one is an animal?",5,"BI2A00041","maybe NO",-0.5,11782,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"80","study","Do you think this one is an animal?",6,"BI2A00038","maybe YES",0.5,14258,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"81","study","Do you think this one is an animal?",7,"BI2A00032","definitely NO",-1.5,10885,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"82","study","Do you think this one is an animal?",8,"BI2A00002","maybe YES",0.5,9027,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"83","study","Do you think this one is an animal?",9,"BI2A00013","maybe NO",-0.5,16869,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"84","study","Do you think this one is an animal?",10,"BI2A00037","maybe NO",-0.5,12556,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"85","study","Do you think this one is an animal?",11,"BI2A00034","definitely NO",-1.5,14883,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"86","study","Do you think this one is an animal?",12,"BI2A00016","maybe YES",0.5,10260,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"87","bonus","Do you think this one can feel hungry?",13,"BI2A00026","maybe NO",-0.5,19874,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"88","bonus","Do you think this one can hear?",14,"BI2A00046","definitely NO",-1.5,10961,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"89","bonus","Do you think this one has feelings?",15,"BI2A00037","definitely YES",1.5,17082,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"90","bonus","Do you think this one can remember things?",16,"BI2A00011","maybe YES",0.5,10602,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"91","bonus","Do you think this one can feel happy?",17,"BI2A00028","maybe NO",-0.5,13269,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"92","bonus","Do you think this one can think?",18,"BI2A00006","maybe YES",0.5,10475,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"93","bonus","Do you think this one can sense things close by?",19,"BI2A00044","maybe NO",-0.5,14913,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"94","bonus","Do you think this one can feel pain?",20,"BI2A00021","maybe NO",-0.5,12174,"k03",6.605479452,"11:30","set2","female","often","",NA,6y 0m 219d 12H 0M 0S
"95","practice",NA,-3,"apple_1","skip",NA,23645,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"96","practice",NA,-2,"apple_2","skip",NA,3304,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"97","practice",NA,-1,"apple_3","skip",NA,6759,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"98","practice",NA,0,"apple_1","skip",NA,20936,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"99","study","Do you think this one is an animal?",1,"BI2A00033","maybe YES",0.5,17855,"k04",5.350684932,"11:55","set1","male","always","it might be",NA,5y 0m 126d 18H 0M 0S
"100","study","Do you think this one is an animal?",2,"BI2A00047","maybe NO",-0.5,25612,"k04",5.350684932,"11:55","set1","male","always","it might be a carpet",NA,5y 0m 126d 18H 0M 0S
"101","study","Do you think this one is an animal?",3,"BI2A00031","maybe NO",-0.5,32104,"k04",5.350684932,"11:55","set1","male","always","another carpet",NA,5y 0m 126d 18H 0M 0S
"102","study","Do you think this one is an animal?",4,"BI2A00030","maybe NO",-0.5,46248,"k04",5.350684932,"11:55","set1","male","always","could be an animal but maybe not",NA,5y 0m 126d 18H 0M 0S
"103","study","Do you think this one is an animal?",5,"BI2A00003","definitely YES",1.5,17777,"k04",5.350684932,"11:55","set1","male","always","raccooon",NA,5y 0m 126d 18H 0M 0S
"104","study","Do you think this one is an animal?",6,"BI2A00046","definitely NO",-1.5,16986,"k04",5.350684932,"11:55","set1","male","always","just a basket",NA,5y 0m 126d 18H 0M 0S
"105","study","Do you think this one is an animal?",7,"BI2A00014","maybe NO",-0.5,25490,"k04",5.350684932,"11:55","set1","male","always","I can't tell - it's maybe",NA,5y 0m 126d 18H 0M 0S
"106","study","Do you think this one is an animal?",8,"BI2A00020","maybe NO",-0.5,14203,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"107","study","Do you think this one is an animal?",9,"BI2A00015","maybe YES",0.5,13564,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"108","study","Do you think this one is an animal?",10,"BI2A00028","maybe YES",0.5,50585,"k04",5.350684932,"11:55","set1","male","always","I have no idea, I'm really not sure",NA,5y 0m 126d 18H 0M 0S
"109","study","Do you think this one is an animal?",11,"BI2A00043","definitely NO",-1.5,23962,"k04",5.350684932,"11:55","set1","male","always","ocean",NA,5y 0m 126d 18H 0M 0S
"110","study","Do you think this one is an animal?",12,"BI2A00008","definitely YES",1.5,11931,"k04",5.350684932,"11:55","set1","male","always","really",NA,5y 0m 126d 18H 0M 0S
"111","bonus","Do you think this one can feel hungry?",13,"BI2A00026","maybe NO",-0.5,41857,"k04",5.350684932,"11:55","set1","male","always","yeah, then no",NA,5y 0m 126d 18H 0M 0S
"112","bonus","Do you think this one has feelings?",14,"BI2A00046","definitely NO",-1.5,21659,"k04",5.350684932,"11:55","set1","male","always","because it's a wooden",NA,5y 0m 126d 18H 0M 0S
"113","bonus","Do you think this one can sense things close by?",15,"BI2A00011","maybe NO",-0.5,29050,"k04",5.350684932,"11:55","set1","male","always","because it has no eyes and it has no sense of things",NA,5y 0m 126d 18H 0M 0S
"114","bonus","Do you think this one can think?",16,"BI2A00037","maybe NO",-0.5,15087,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"115","bonus","Do you think this one can remember things?",17,"BI2A00044","definitely NO",-1.5,10797,"k04",5.350684932,"11:55","set1","male","always","",NA,5y 0m 126d 18H 0M 0S
"116","bonus","Do you think this one can feel happy?",18,"BI2A00006","maybe NO",-0.5,12103,"k04",5.350684932,"11:55","set1","male","always","[wanted to stop]",NA,5y 0m 126d 18H 0M 0S
"117","practice",NA,-3,"apple_1","skip",NA,15211,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"118","practice",NA,-2,"apple_2","skip",NA,4887,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"119","practice",NA,-1,"apple_3","skip",NA,6398,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"120","practice",NA,0,"apple_1","skip",NA,12063,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"121","study","Do you think this one is an animal?",1,"BI2A00037","maybe NO",-0.5,28038,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","hay",NA,4y 0m 34d 0H 0M 0S
"122","study","Do you think this one is an animal?",2,"BI2A00038","NO",NA,28202,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","wood to build a house",NA,4y 0m 34d 0H 0M 0S
"123","study","Do you think this one is an animal?",3,"BI2A00004","maybe YES",0.5,27898,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","goat",NA,4y 0m 34d 0H 0M 0S
"124","study","Do you think this one is an animal?",4,"BI2A00041","NO",NA,14905,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","it's a bag",NA,4y 0m 34d 0H 0M 0S
"125","study","Do you think this one is an animal?",5,"BI2A00045","NO",NA,25086,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","fans are not animals; build a carpet",NA,4y 0m 34d 0H 0M 0S
"126","study","Do you think this one is an animal?",6,"BI2A00040","NO",NA,8064,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","different",NA,4y 0m 34d 0H 0M 0S
"127","study","Do you think this one is an animal?",7,"BI2A00032","NO",NA,21220,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","carpets always",NA,4y 0m 34d 0H 0M 0S
"128","study","Do you think this one is an animal?",8,"BI2A00013","YES",NA,16401,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","it's because… another goat",NA,4y 0m 34d 0H 0M 0S
"129","study","Do you think this one is an animal?",9,"BI2A00002","YES",NA,16765,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","porcupine",NA,4y 0m 34d 0H 0M 0S
"130","study","Do you think this one is an animal?",10,"BI2A00016","YES",NA,38883,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"131","study","Do you think this one is an animal?",11,"BI2A00006","YES",NA,21967,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","from an eagle",NA,4y 0m 34d 0H 0M 0S
"132","study","Do you think this one is an animal?",12,"BI2A00034","NO",NA,6940,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"133","bonus","Do you think this one has feelings?",13,"BI2A00046","NO",NA,8819,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"134","bonus","Do you think this one can feel pain?",14,"BI2A00044","YES",NA,19872,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","it's a robot [explained what ""hurt"" means]",NA,4y 0m 34d 0H 0M 0S
"135","bonus","Do you think this one can feel hungry?",15,"BI2A00026","YES",NA,17381,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","its' a giraffe and giraffes eat apples, and leaves",NA,4y 0m 34d 0H 0M 0S
"136","bonus","Do you think this one can hear?",16,"BI2A00011","YES",NA,15770,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","cow",NA,4y 0m 34d 0H 0M 0S
"137","bonus","Do you think this one can sense things close by?",17,"BI2A00021","skip",NA,32883,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","turtle, no, turtles are shy",NA,4y 0m 34d 0H 0M 0S
"138","bonus","Do you think this one can think?",18,"BI2A00037","YES",NA,7063,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"139","bonus","Do you think this one can feel happy?",19,"BI2A00006","NO",NA,18284,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","no it feels mad (first said yes, then no)",NA,4y 0m 34d 0H 0M 0S
"140","bonus","Do you think this one can remember things?",20,"BI2A00028","NO",NA,10470,"k05",4.095890411,"12:34","set2","female","English always, Spanish often","",NA,4y 0m 34d 0H 0M 0S
"141","practice",NA,-3,"apple_1","skip",NA,13592,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"142","practice",NA,-2,"apple_2","skip",NA,3023,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"143","practice",NA,-1,"apple_3","skip",NA,3370,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"144","practice",NA,0,"apple_1","skip",NA,11078,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"145","study","Do you think this one is an animal?",1,"BI2A00044","definitely NO",-1.5,13720,"k06",5.961643836,"13:18","set3","female","always","not. I can tell",NA,5y 0m 349d 18H 0M 0S
"146","study","Do you think this one is an animal?",2,"BI2A00010","maybe YES",0.5,15401,"k06",5.961643836,"13:18","set3","female","always","animal fur",NA,5y 0m 349d 18H 0M 0S
"147","study","Do you think this one is an animal?",3,"BI2A00017","maybe YES",0.5,8210,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"148","study","Do you think this one is an animal?",4,"BI2A00018","definitely YES",1.5,10992,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"149","study","Do you think this one is an animal?",5,"BI2A00007","definitely YES",1.5,15874,"k06",5.961643836,"13:18","set3","female","always","animal, cuz I see fur",NA,5y 0m 349d 18H 0M 0S
"150","study","Do you think this one is an animal?",6,"BI2A00025","definitely NO",-1.5,13299,"k06",5.961643836,"13:18","set3","female","always","carpet",NA,5y 0m 349d 18H 0M 0S
"151","study","Do you think this one is an animal?",7,"BI2A00019","definitely YES",1.5,7829,"k06",5.961643836,"13:18","set3","female","always","animal",NA,5y 0m 349d 18H 0M 0S
"152","study","Do you think this one is an animal?",8,"BI2A00035","definitely NO",-1.5,9203,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"153","study","Do you think this one is an animal?",9,"BI2A00036","maybe NO",-0.5,37219,"k06",5.961643836,"13:18","set3","female","always","animals don't have those little fuzzes, rugs are square",NA,5y 0m 349d 18H 0M 0S
"154","study","Do you think this one is an animal?",10,"BI2A00005","definitely YES",1.5,7827,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"155","study","Do you think this one is an animal?",11,"BI2A00026","maybe NO",-0.5,6248,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"156","study","Do you think this one is an animal?",12,"BI2A00027","definitely NO",-1.5,9624,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
"157","bonus","Do you think this one can remember things?",13,"BI2A00011","maybe NO",-0.5,47134,"k06",5.961643836,"13:18","set3","female","always","I cannot",NA,5y 0m 349d 18H 0M 0S
"158","bonus","Do you think this one can feel hungry?",14,"BI2A00006","maybe YES",0.5,11728,"k06",5.961643836,"13:18","set3","female","always","",NA,5y 0m 349d 18H 0M 0S
